delta_t,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,lin_ax,lin_ay,lin_az
0.02,-0.06,0.06,1.05,-0.03,-0.03,0.0,1.0,0.04,0.01,0.01,-0.04,-0.01,0.05
0.02,-0.04,0.06,1.03,-0.03,-0.05,0.05,1.0,0.04,0.01,0.01,-0.03,-0.01,0.03
0.02,-0.02,0.06,1.04,-0.04,0.01,0.06,1.0,0.04,0.01,0.01,-0.0,-0.01,0.04
0.02,-0.02,0.05,1.06,-0.02,-0.07,0.02,1.0,0.04,0.01,0.01,-0.01,-0.02,0.06
0.02,-0.02,0.05,1.04,0.04,-0.05,0.04,1.0,0.04,0.01,0.01,-0.01,-0.02,0.04
0.02,-0.01,0.05,1.03,0.04,0.01,0.05,1.0,0.04,0.01,0.01,0.0,-0.02,0.04
0.02,-0.0,0.06,1.0,0.05,-0.07,0.02,1.0,0.04,0.01,0.01,0.01,-0.01,0.01
0.02,-0.01,0.07,1.01,-0.0,0.04,-0.01,1.0,0.04,0.01,0.01,0.01,-0.0,0.01
0.02,-0.03,0.07,1.0,0.0,0.0,-0.02,1.0,0.04,0.01,0.01,-0.02,-0.0,0.0
0.02,-0.03,0.07,0.98,0.0,-0.01,0.02,1.0,0.04,0.01,0.01,-0.01,0.0,-0.02
0.02,-0.03,0.07,0.99,-0.06,0.06,0.04,1.0,0.04,0.01,0.01,-0.02,0.0,-0.01
0.02,-0.03,0.05,1.03,-0.04,0.03,0.06,1.0,0.04,0.01,0.01,-0.02,-0.02,0.03
0.02,-0.04,0.05,1.01,0.0,-0.04,-0.0,1.0,0.04,0.01,0.01,-0.03,-0.01,0.01
0.02,-0.05,0.06,0.99,-0.01,0.04,0.01,1.0,0.04,0.01,0.01,-0.03,-0.01,-0.0
0.02,-0.03,0.06,0.98,-0.01,-0.0,0.02,1.0,0.04,0.01,0.01,-0.01,-0.01,-0.01
0.02,-0.07,0.07,0.98,-0.06,0.03,-0.0,1.0,0.04,0.01,0.01,-0.05,0.0,-0.01
0.02,-0.03,0.04,1.02,-0.05,0.06,0.14,1.0,0.03,0.01,0.01,-0.01,-0.02,0.02
0.02,0.02,0.03,1.02,-0.02,0.02,0.1,1.0,0.03,0.01,0.01,0.03,-0.04,0.02
0.02,0.0,0.03,1.02,-0.03,-0.06,-0.01,1.0,0.03,0.01,0.01,0.02,-0.03,0.02
0.02,-0.01,0.05,1.0,-0.01,-0.07,-0.04,1.0,0.03,0.01,0.01,0.0,-0.02,0.0
0.02,-0.04,0.06,1.01,-0.02,0.04,0.01,1.0,0.03,0.01,0.01,-0.03,-0.0,0.01
0.02,-0.01,0.05,1.03,0.01,0.01,0.08,1.0,0.03,0.01,0.01,0.0,-0.02,0.03
0.02,0.0,0.05,0.99,0.03,-0.09,-0.02,1.0,0.03,0.01,0.01,0.02,-0.01,-0.0
0.02,-0.02,0.06,0.98,0.0,-0.05,-0.04,1.0,0.03,0.01,0.01,-0.01,0.0,-0.02
0.02,-0.04,0.07,1.0,-0.01,0.01,0.02,1.0,0.03,0.01,0.01,-0.03,0.01,-0.0
0.02,0.0,0.06,1.0,0.01,-0.08,0.04,1.0,0.03,0.01,0.01,0.02,-0.01,-0.0
0.02,0.02,0.06,0.95,-0.01,-0.08,0.0,1.0,0.03,0.01,0.01,0.03,-0.01,-0.04
